word,definition
entity,that which is perceived or known or inferred to have its own distinct existence (living or nonliving)
physical_entity,an entity that has physical existence
abstraction,a general concept formed by extracting common features from specific examples
abstract_entity,a general concept formed by extracting common features from specific examples
thing,a separate and self-contained entity
object,a tangible and visible entity; an entity that can cast a shadow
physical_object,a tangible and visible entity; an entity that can cast a shadow
whole,an assemblage of parts that is regarded as a single entity
unit,an assemblage of parts that is regarded as a single entity
congener,a whole (a thing or person) of the same kind or category as another
living_thing,a living (or once living) entity
animate_thing,a living (or once living) entity
organism,a living thing that has (or can develop) the ability to act or function independently
being,a living thing that has (or can develop) the ability to act or function independently
benthos,organisms (plants and animals) that live at or near the bottom of a sea
dwarf,a plant or animal that is atypically small
heterotroph,an organism that depends on complex organic substances for nutrition
parent,an organism (plant or animal) from which younger ones are obtained
life,living things collectively
biont,a discrete unit of living matter
cell,(biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as in monads) or may form colonies or tissues as in higher plants and animals
causal_agent,any entity that produces an effect or is responsible for events or results
cause,any entity that produces an effect or is responsible for events or results
causal_agency,any entity that produces an effect or is responsible for events or results
person,a human being
individual,a human being
someone,a human being
somebody,a human being
mortal,a human being
soul,a human being
animal,a living organism characterized by voluntary movement
animate_being,a living organism characterized by voluntary movement
beast,a living organism characterized by voluntary movement
brute,a living organism characterized by voluntary movement
creature,a living organism characterized by voluntary movement
fauna,a living organism characterized by voluntary movement
plant,(botany) a living organism lacking the power of locomotion
flora,(botany) a living organism lacking the power of locomotion
plant_life,(botany) a living organism lacking the power of locomotion
native,indigenous plants and animals
natural_object,an object occurring naturally; not made by man
substance,the real physical matter of which a person or thing consists
substance,a particular kind or species of matter with uniform properties
matter,that which has mass and occupies space
food,any substance that can be metabolized by an animal to give energy and build tissue
nutrient,any substance that can be metabolized by an animal to give energy and build tissue
nutrient,any substance (such as a chemical element or inorganic compound) that can be taken in by a green plant and used in organic synthesis
artifact,a man-made object taken as a whole
artefact,a man-made object taken as a whole
article,one of a class of artifacts
psychological_feature,a feature of the mental life of a living organism
cognition,the psychological result of perception and learning and reasoning
knowledge,the psychological result of perception and learning and reasoning
noesis,the psychological result of perception and learning and reasoning
motivation,the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior
motive,the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior
need,the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior
attribute,an abstraction belonging to or characteristic of an entity
state,the way something is with respect to its main attributes
feeling,the experiencing of affective and emotional states
location,a point or extent in space
shape,the spatial arrangement of something as distinct from its substance
form,the spatial arrangement of something as distinct from its substance
time,the continuum of experience in which events pass from the future through the present to the past
space,the unlimited expanse in which everything is located
infinite,the unlimited expanse in which everything is located
absolute_space,physical space independent of what occupies it
phase_space,(physics) an ideal space in which the coordinate dimensions represent the variables that are required to describe a system or substance
event,something that happens at a given place and time
process,a sustained phenomenon or one marked by gradual changes through a series of states
physical_process,a sustained phenomenon or one marked by gradual changes through a series of states
act,something that people do or cause to happen
deed,something that people do or cause to happen
human_action,something that people do or cause to happen
human_activity,something that people do or cause to happen
group,any number of entities (members) considered as a unit
grouping,any number of entities (members) considered as a unit
relation,an abstraction belonging to or characteristic of two entities or parts together
possession,anything owned or possessed
social_relation,a relation between living organisms (especially between people)
communication,something that is communicated by or to or between people or groups
measure,how much there is or how many there are of something that you can quantify
quantity,how much there is or how many there are of something that you can quantify
amount,how much there is or how many there are of something that you can quantify
phenomenon,any state or process known through the senses rather than by intuition or reasoning
thing,an action
kindness,a kind act
benignity,a kind act
abdominoplasty,cosmetic surgery of the abdomen to remove wrinkles and tighten the skin over the stomach
tummy_tuck,cosmetic surgery of the abdomen to remove wrinkles and tighten the skin over the stomach
abort,the act of terminating a project or procedure before it is completed
accomplishment,the action of accomplishing something
achievement,the action of accomplishing something
agon,a festivity in ancient Greece at which competitors contended for prizes
alienation,the action of alienating; the action of causing to become unfriendly
application,the action of putting something into operation
beachhead,an initial accomplishment that opens the way for further developments
foothold,an initial accomplishment that opens the way for further developments
cakewalk,an easy accomplishment
feat,a notable achievement
effort,a notable achievement
exploit,a notable achievement
masterpiece,an outstanding achievement
masterstroke,an achievement demonstrating great skill or mastery
credit,used in the phrase `to your credit' in order to indicate an achievement deserving praise
action,something done (usually as opposed to something said)
res_gestae,things done
course,a mode of action
course_of_action,a mode of action
blind_alley,(figurative) a course of action that is unproductive and offers no hope of improvement
collision_course,a course of action (following a given idea) that will lead to conflict if it continues unabated
interaction,a mutual or reciprocal action; interacting
interplay,reciprocal action and reaction
contact,close interaction
brush,contact with something dangerous or undesirable
eye_contact,contact that occurs when two people look directly at each other
fetch,the action of fetching
placement,contact established between applicants and prospective employees
interchange,mutual interaction; the activity of reciprocating or exchanging (especially information)
reciprocation,mutual interaction; the activity of reciprocating or exchanging (especially information)
give-and-take,mutual interaction; the activity of reciprocating or exchanging (especially information)
reciprocity,mutual exchange of commercial or other privileges
cross-fertilization,interchange between different cultures or different ways of thinking that is mutually productive and beneficial
cross-fertilisation,interchange between different cultures or different ways of thinking that is mutually productive and beneficial
dealings,social or verbal interchange (usually followed by `with')
traffic,social or verbal interchange (usually followed by `with')
relation,(usually plural) mutual dealings or connections among persons or groups
playing,the action of taking part in a game or sport or other recreation
play,the act using a sword (or other weapon) vigorously and skillfully
swordplay,the act using a sword (or other weapon) vigorously and skillfully
boondoggle,work of little or no value done merely to look busy
bowling,the playing of a game of tenpins or duckpins etc
acquiring,the act of acquiring something
getting,the act of acquiring something
causing,the act of causing something to happen
causation,the act of causing something to happen
delivery,the act of delivering a child
obstetrical_delivery,the act of delivering a child
departure,the act of departing
going,the act of departing
going_away,the act of departing
leaving,the act of departing
derring-do,brave and heroic feats
discovery,the act of discovering something
find,the act of discovering something
uncovering,the act of discovering something
disposal,the act or means of getting rid of something
disposition,the act or means of getting rid of something
hit,(baseball) a successful stroke in an athletic contest (especially in baseball)
implementation,the act of implementing (providing a practical means for accomplishing something); carrying into effect
effectuation,the act of implementing (providing a practical means for accomplishing something); carrying into effect
egress,the act of coming (or going) out; becoming apparent
egression,the act of coming (or going) out; becoming apparent
emergence,the act of coming (or going) out; becoming apparent
equalization,the act of making equal or uniform
equalisation,the act of making equal or uniform
leveling,the act of making equal or uniform
exhumation,the act of digging something out of the ground (especially a corpse) where it has been buried
disinterment,the act of digging something out of the ground (especially a corpse) where it has been buried
digging_up,the act of digging something out of the ground (especially a corpse) where it has been buried
mitzvah,(Judaism) a good deed performed out of religious duty
mitsvah,(Judaism) a good deed performed out of religious duty
propulsion,the act of propelling
actuation,the act of propelling
rally,the feat of mustering strength for a renewed effort
rallying,the feat of mustering strength for a renewed effort
recovery,the act of regaining or saving something lost (or in danger of becoming lost)
retrieval,the act of regaining or saving something lost (or in danger of becoming lost)
running_away,the act of leaving (without permission) the place you are expected to be
stunt,a difficult or unusual or dangerous feat; usually done to gain attention
touch,the act of putting two things together with no space between them
touching,the act of putting two things together with no space between them
tour_de_force,a masterly or brilliant feat
performance,any recognized accomplishment
overachievement,better than expected performance (better than might have been predicted from intelligence tests)
underachievement,poorer than expected performance (poorer than might have been predicted from intelligence tests)
record,the sum of recognized accomplishments
track_record,the sum of recognized accomplishments
fait_accompli,an irreversible accomplishment
accomplished_fact,an irreversible accomplishment
going,advancing toward a goal
sledding,advancing toward a goal
arrival,accomplishment of an objective
reaching,accomplishment of an objective
arrival,the act of arriving at a certain place
attainment,arrival at a new stage
advent,arrival that has been awaited (especially of something momentous)
coming,arrival that has been awaited (especially of something momentous)
entrance,the act of entering
entering,the act of entering
entry,the act of entering
ingress,the act of entering
incoming,the act of entering
incursion,the act of entering some territory or domain (often in large numbers)
intrusion,entrance by force or without permission or welcome
irruption,a sudden violent entrance; a bursting in
entree,the act of entering
entail,the act of entailing property; the creation of a fee tail from a fee simple
registration,the act of enrolling
enrollment,the act of enrolling
enrolment,the act of enrolling
appearance,the act of appearing in public view
apparition,an act of appearing or becoming visible unexpectedly
emergence,the act of emerging
emersion,the act of emerging
reappearance,the act of someone appearing again
return,the act of someone appearing again
comeback,return by a celebrity to some previously successful activity
return,a coming to or returning home
homecoming,a coming to or returning home
repatriation,the act of returning to the country of origin
penetration,the act of entering into or through something
interpenetration,mutual penetration; diffusion of each through the other
permeation,mutual penetration; diffusion of each through the other
market_penetration,the extent to which a product is recognized and bought by customers in a particular market
anchorage,the act of anchoring
docking,the act of securing an arriving vessel with ropes
moorage,the act of securing an arriving vessel with ropes
dockage,the act of securing an arriving vessel with ropes
tying_up,the act of securing an arriving vessel with ropes
landing,the act of coming to land after a voyage
landing,the act of coming down to the earth (or other surface)
forced_landing,an unscheduled airplane landing that is made under circumstances (engine failure or adverse weather) not under the pilot's control
emergency_landing,an unscheduled airplane landing that is made under circumstances (engine failure or adverse weather) not under the pilot's control
breaking_away,departing hastily
farewell,the act of departing politely
leave,the act of departing politely
leave-taking,the act of departing politely
parting,the act of departing politely
French_leave,an abrupt and unannounced departure (without saying farewell)
valediction,the act of saying farewell
disappearance,the act of leaving secretly or without explanation
disappearing,the act of leaving secretly or without explanation
vanishing,a sudden disappearance from sight
withdrawal,the act of withdrawing
effacement,withdrawing into the background; making yourself inconspicuous
self-effacement,withdrawing into the background; making yourself inconspicuous
retreat,the act of withdrawing or going backward (especially to escape something hazardous or unpleasant)
retirement,withdrawal for prayer and study and meditation
retreat,withdrawal for prayer and study and meditation
evacuation,the act of evacuating; leaving a place in an orderly fashion; especially for protection
medical_evacuation,the evacuation of persons (usually by air transportation) to a place where they can receive medical care
medevac,the evacuation of persons (usually by air transportation) to a place where they can receive medical care
medivac,the evacuation of persons (usually by air transportation) to a place where they can receive medical care
decampment,breaking camp
desertion,withdrawing support or help despite allegiance or responsibility
abandonment,withdrawing support or help despite allegiance or responsibility
defection,withdrawing support or help despite allegiance or responsibility
abscondment,the act of running away secretly (as to avoid arrest)
decampment,the act of running away secretly (as to avoid arrest)
absence_without_leave,unauthorized military absence
unauthorized_absence,unauthorized military absence
deviationism,ideological defection from the party line (especially from orthodox communism)
emigration,migration from a place (especially migration from your native country in order to settle in another)
out-migration,migration from a place (especially migration from your native country in order to settle in another)
expatriation,migration from a place (especially migration from your native country in order to settle in another)
immigration,migration into a place (especially migration to a country of which you are not a native in order to settle there)
in-migration,migration into a place (especially migration to a country of which you are not a native in order to settle there)
aliyah,(Judaism) immigration of Jews to Israel
pullback,(military) the act of pulling back (especially an orderly withdrawal of troops)
retreat,(military) withdrawal of troops to a more favorable position to escape the enemy's superior forces or after a defeat
standdown,(military) a temporary stop of offensive military action
stand-down,(military) a temporary stop of offensive military action
disengagement,to break off a military action with an enemy
fallback,to break off a military action with an enemy
pullout,to break off a military action with an enemy
receding,the act of becoming more distant
recession,the act of becoming more distant
sailing,the departure of a vessel from a port
amphibious_landing,"a military action of coordinated land, sea, and air forces organized for an invasion"
debarkation,the act of passengers and crew getting off of a ship or aircraft
disembarkation,the act of passengers and crew getting off of a ship or aircraft
disembarkment,the act of passengers and crew getting off of a ship or aircraft
going_ashore,debarkation from a boat or ship
boarding,the act of passengers and crew getting aboard a ship or aircraft
embarkation,the act of passengers and crew getting aboard a ship or aircraft
embarkment,the act of passengers and crew getting aboard a ship or aircraft
exit,the act of going out
elopement,the act of running away with a lover (usually to get married)
escape,the act of escaping physically
flight,the act of escaping physically
evasion,the act of physically escaping from something (an opponent or a pursuer or an unpleasant situation) by some adroit maneuver
slip,the act of avoiding capture (especially by cunning)
elusion,the act of avoiding capture (especially by cunning)
eluding,the act of avoiding capture (especially by cunning)
maneuver,an action aimed at evading an opponent
manoeuvre,an action aimed at evading an opponent
evasive_action,an action aimed at evading an opponent
clinch,(boxing) the act of one boxer holding onto the other to avoid being hit and to rest momentarily
dodge,a quick evasive movement
break,an escape from jail
breakout,an escape from jail
jailbreak,an escape from jail
gaolbreak,an escape from jail
prisonbreak,an escape from jail
prison-breaking,an escape from jail
getaway,a rapid escape (as by criminals)
lam,a rapid escape (as by criminals)
exodus,a journey by a large group to escape from a hostile environment
hegira,a journey by a large group to escape from a hostile environment
hejira,a journey by a large group to escape from a hostile environment
Hegira,the flight of Muhammad from Mecca to Medina in 622 which marked the beginning of the Muslim era; the Muslim calendar begins in that year
Hejira,the flight of Muhammad from Mecca to Medina in 622 which marked the beginning of the Muslim era; the Muslim calendar begins in that year
skedaddle,a hasty flight
Underground_Railroad,secret aid to escaping slaves that was provided by abolitionists in the years before the American Civil War
Underground_Railway,secret aid to escaping slaves that was provided by abolitionists in the years before the American Civil War
close_call,something achieved (or escaped) by a narrow margin
